"tweet","sentiment"
"Since this afternoon's session cancelled I guess I'll enjoy this awesome weather by scraping the rest of the bugs off my car",3
"@mention Even with the poor weather lately, is the club concerned about attendance? Numbers seem light.",1
"Between the humidity in the school and the stench of the dirts, I feel like I'm breathing in swamp water.",1
"Was outside for too long! I am so hot from this 80 degree weather, that I feel like I'm going to pass out! :-\",1
"@mention @mention Good Morning Angel & Charlie! I am so enjoying the sunshine from my office window. So nice 2 see! Hope u see some 2.",3
"Thanks OTG&everyone who came out yesterday not the best weather but we made it happen... look forward to next time!!!",1
"@mention haha yeah, i can pretend it's mono for you! And really, what up weather? haven't seen the sun since friday.",1
"@mention My sun day was cut short by a sudden storm.  #SUCKS",1
"RT @mention: Its about to storm boaa",2
"Why is it 100 degrees out? :/",1
"nice weather today in new jersey &hearts;",3
"95 degree weather and no sunscreen was a bad idea I feel like @mention",1
"Snow snow go away come back another day Or at least don't stick to the road. #atoc @mention {link}",1
"Today's Weather is just cloudy and a light drizzle. High is 49 Degrees. What are you seeing in your area? Please Share Below:",2
"@mention Yeah... I should've ran today, but it was too chilly for me.",1
"MLB Weather Report-NL : Braves at Phillies : Mostly cloudy with a 30-percent cha.... {link}",2
"@mention Hi Tenpei san! How is the weather in Tokyo this week? It is heavy rain every day this week where I live :(.",1
"@mention Well if the weather's shit and it rains, we may need something to do LOL. Figures rain is forecast for Saturday (@mention)",1
"Tropical Storm Aere strikes Philippines, Japan next..: Flooding and mudslides will occur with some areas s... {link}",2
"Partly sunny and cool {link} #cltnews",2
"This weather sucks 18 dicks.",1
"@mention Don't blame the weather.It's just gotten nice! Ma Nature might hear U & think U want a return of her nasty ways!  #ndcohort",3
"it is freezing in are houseee",1
"Thunderstorms while your sleeping = Perfect & relaxing soO happy right now :)",3
"Not looking forward to work tomorrow, especially with the promised weather :(",1
"RT @mention: We had a GREAT turnout at the Wes Welker Football Camp and beautiful weather to go along with it in Boston! Thanks to e ...",3
"#WEATHER:  6:56 pm : 60.0F. Feels 57F. 29.83% Humidity. 15.0MPH West Wind.",2
"San Antonio, Texas Weather :: 78F MOSTLY CLOUDY from San Antonio, Texas Weather {link}",2
"#WEATHER:  10:54 am: 53.0F. Feels 48F. 30.02% Humidity. 18.4MPH Northeast Wind.",2
"Man y is it so hot...me n hot weather dnt mix !!! Aubreyona+hot weather=meanest bitch ever !!!",1
"Jacket needed today very cold out there tweeps!!",2
"Mann it people really out here cutting grass... sorry moms I will go cut yours when its back to shorts weather...",1
"@mention The weather has been amazing in SF, hasn't it?",3
"@mention It's rainy outside.  :/",1
"Only played like 15 minutes and than got out. -___- it's too HOT as fuck man",1
"RT @mention: TORNADO WARNING SE MO. DAMAGE HAS BEEN REPORTED ALONG THE LINE OF STORMS IN BOLLINGER COUNTY {link} for ...",2
"I can't believe this weather... In May... I wish it would last all summer.",3
"Ready for the weekend of sun which means great tanning weather!",3
"Sunny day out I'm loving this Alaska weather.",3
"What a lovely day in sunny Stanley!",3
"@mention I know! This weather is shit, hopefully by the time mack opens will have good weather :)",1
"Weather causes Metro Division title to hang in the balance - Wichita Falls Sports | Examiner.com {link} via @mention",2
"Pleasantly warm outside today, just ruined by the smell of tarmac",3
"80 mother effing degrees tomoro!",1
"@mention in florida now? how's the weather? its shitty over here",1
"Gorgeous weather = happy wild animals :)",3
"And its sunny right now! #gosun",3
"THE NATIONAL WEATHER SERVICE IN NORMAN HAS ISSUED A SEVERE THUNDERSTORM WARNING FOR NORTHEASTERN BECKHAM COUNTY,... {link}",2
"The strip during the day is not for me.. Especially when it's 90+ degrees out",1
"More snow? Fuck you, Mother Nature. Fuck you with a shovel.",1
"I HATE THIS HOT NASTY HUMID WEATHER.. UGHH MAN HOW LONG TILL WINTER COMES BACK??? FOR REAL",1
"#WEATHER:  8:54 pm : 62.0F. Feels 62F. 29.99% Humidity. 4.6MPH North Wind.",2
"Western ND has had it's most severe winter, 108"" snow +. Now comes flooding. No basement is safe. Get ready Mississippi, more is coming.",1
"a cold rainy afternoon at the end of may. Guess mother nature didnt get the memo.",1
"RT @mention Severe Thunderstorm Warning until 02:00 PM CDT Cancelled for Texas-OK {link}",2
"I hope so too! RT: Cafe210West: @mention great picture!  Let's hope the nice weather sticks around for more than a day!",3
"RT @mention: It was just sunny outside...hot as a bitch...now this shit...",1
"Thunderstorm &lt;3",3
"@mention I'm good thanks. Worked out last night so I'm a lil sore today. Supposed to be 80 today I love the warmer weather :)",3
"Ugh...it's already 81 with 53% humidity.",1
"Snow in Tahoe...: Snow in Tahoe...(Third column, 20th story, link)      {link}",2
"@mention the weather is miserable, combined with the pollen is doing me in this afternoon. I'd like to sleep...",1
"@mention We are jealous. Still cold and rainy in Minot.",1
"just had a good nap and woke up to this cloudy crappy weather hate this weather just get nice already",1
"RT @mention: Tornado watch for North Texas.. we are streaming from our weather center {link}",2
"I really oughta go pay bills. But it's so cold and rainy and dreary outside... And my kiddos are so warm and happy and cuddly... =)",1
"40 degrees in mid-may? this sucks, and it was 90 a few days ago.",1
"@mention u need to be here in sunny PHX. :)",3
"#WEATHER:  5:53 pm : 72.0F. Feels F. 29.93% Humidity. 25.3MPH West Wind.",2
"RT @mention: Scary weather rolling into #Boston {link}",1
"its cold outside .",2
"The weather from tomorrow til next week is going to be crappy... :o(",1
"Precipitation (Rodgers, Alan, Measuring the Weather.):  {link}",2
"Dang..its FREEZING out!!!",1
"THE NATIONAL WEATHER SERVICE IN AUSTIN SAN ANTONIO HAS ISSUED A* SEVERE THUNDERSTORM WARNING FOR...... {link}",2
"The weather outside is killing me.",1
"RT @mention: i love the cold weather",3
"RT @mention: Snow at higher elevations continues to melt increasing the flow of the Virgin River to over 1,000 c/ft/sec {link}",2
"What's the weather like in your back yard?  Do you have any storm damage or flooding?",2
"#WEATHER: 12:47 pm : 84.0F. Feels F. 29.98% Humidity. 11.5MPH Southwest Wind.",2
"#WEATHER:  7:52 pm : 62.0F. Feels F. 29.89% Humidity. 0.0MPH North Wind.",2
"Rainfall warning  ENDED for St. Stephen and Northern Charlotte County #Weather #Warnings",2
"#WEATHER:  1:56 pm : 74.0F. Feels F. 29.69% Humidity. 18.4MPH Southwest Wind.",2
"Isolated thunderstorms tonight, low 70 (21 C).  Mostly sunny Monday, high near 86 (30 C).",2
"@mention Glad the weather is turning for the better out there",3
"Perfect weather in Vegas, 1 am and its 80 degrees!!! F*k a truck ,I'm a coupe guy. some people buy the truck but can't drive anywhere.lmao",3
"Hope u r enjoying this great weather!  Passes go on-sale again on July 1st...lowest pricing!  (Same price as end of season.)",3
"Ok #Boise... What's up w/ your weather? It was just 85 degrees on Friday, and now it's 51?! AND it snowed?! Geez! Not cool! Not cool at all!",1
"@mention we get some amazing thunderstorms in August here in Arizona!  {link} #TTOT",3
"Tropical storm nears Phl {link}",2
"HATE sleeping with the window open, friggin freezing right now!!! #notcool",1
"Outside: 71.3 F, Humidity: 70%, Wind: (129) 9 mph, Press: 29.59"", Rain: 0.98",2
"Samaratans Purse needs Gatorade!!! The hot weather is taking its toll!! Please bring to First Baptist Church Family Life Center! (AG)",1
"1st day back 2 work at Elmcrest n loving the beautiful weather! Great day 4 golf! Just wonderin when @mention is gonna come visit? :)",3
"Gently massaging my jaw ... this weather makes it wonky! Knees, too. I'm elderly, you know.",1
"@mention that sounds like a wonderful evening. And the weather has cleared up!",3
"It's so beautiful and sunny outside :) I guess mother nature is paying us back because of the April from hell that she gave us last week.",3
"Temp: 39.9 F * HeatIndex: 39.9 F * Hum: 89% * Dew: 36.9 F * Baro: 29.81 inHg * UV: 0.00 * Rain: 0.00 in @ 04:00 AM",2
"its nicout so ill enjoy the weather",3
"Must take advantage of this beautiful weather today!",3
"Rain, rain go away come again in another, just let me enjoy this sunshine! Then wen its too hot, u can come back:)",1
"Much better day, hot and sunny!  No time to sit in the sun though, loads of work in the garden to do. Holiday? What holiday??",3
"#United States #Pennsylvania #PhoenixvillePhoenix & Arizona weather: windy & cooler - KPNX-12",2
"@mention bring that sun with you when you start to head north...k? Its been cold & rainy!",1
"RT @mention: NEW WARNING!! A Severe Thunderstorm Warning has been issued for Dallas and Tarrant counties until 5:00 PM.",2
"RT @mention: US: Violent thunderstorms kill 6 in Oklahoma, Kansas {link}",2
"Getting ready to head out for the day and enjoy the weather!",3
"Special Weather Statement issued May 18 at 1:42PM EDT expiring May 18 at 2:30PM EDT by NWS Baltimore/Washington ... {link}",2
"Thunderstorm Light Rain and 70 F at Harrison, Boone County Airport, AR Winds are from the West at 11.5 gusting to 18.4  {link}",2
"On my way to a swimsuit photo shoto.  So glad it's not cold outside. : )",3
"What crappy weather =\",1
"Scouting for the Boone, NC photo fest today... Beautiful locations and great weather to come all weekend!",3
"I heard its good weather outside.",3
"Occasional lt #rain tdy, redevelops overnte. Heavier rain showers expected for most of THURS. 1-2"" of rain in S #BlackHills, 3-5"" in NHills.",2
"Light sprinkle (2 drops in parking lot) at Cortaro and I-10. Watch the weather with Chief @mention at {link}. Live #RADAR",2
"glad I just shaved my legs , since apparently its supposed to be 81 tomorrow ;hell yeah,summer weather. .finallyyy!",3
"This Afternoon - Mostly cloudy. A chance of showers with isolated thunderstorms. Highs around 70. Northeast winds 5 to 10 mph. Chance...",2
"#WEATHER:  1:56 pm : 91.0F. Feels F. 29.85% Humidity. 11.5MPH West Wind.",2
"A very rainy Aloha Friday {link}",2
"Watching CONSTANT lightning.  Man, I love weather. (@ Sheetz) {link}",3
"RAINY PRACTICE!!!! #iloveit",3
"Who's with me when I say, I can't wait for it to be Summer, and hot outside?",3
"The rain way crazy this afternoon. Still trying to get warm after a mad rush to tarp before the torrential downpour! #cold",1
"@mention They have the tornado in Memphis? God, this is a horrible fucking storm. I'm up in Iowa and it's only 1 hour away...",1
"#WEATHER:  1:54 am : 59.0F. Feels 59F. 30.06% Humidity. 4.6MPH West Wind.",2
"This weather is too crazy..",1
"It's 78 degrees outside, but at least 85 in my room. Fan has been on and windows open the entire day. Next house: better ventilation.",1
"#WEATHER:  10:53 pm: 73.0F. Feels F. 29.76% Humidity. 15.0MPH Southeast Wind.",2
"@mention yes just working, can't wait to get out n enjoy the weather",3
"Leesburg Weather: Forecast for Sunday Night: Mostly cloudy. A chance of showers in the evening. Lows in the upper 40s. North...  #weather",2
"Dear Chicago, you've finally maintained normal summer weather. Congratulations.",3
"Lucky Mile Race #2 tonight!  Looks like the weather is clearing just in time!  See you all soon!",3
"#WEATHER: 8:47 am P: 61.0F. Feels F. 29.95% Humidity. 0.0MPH North Wind.",2
"RADAR UPDATE: Strong storm moving NE between Waverly/Clarksville. Expect gusty wind and hail. {link} #fb",2
"@mention you better get somewhere safe because the weather channel shows it headed straight for yall!!",2
"trying to organize this place....ready to get out and enjoy the weather!",3
"It's cold n here! I'm tired of this fall weather! Missing that one thang! #summertime",1
"God I love NYC weather",3
"This cold weather that bull..I'm trying to rock this short set my mama just copped me #littlekidtweet",1
"The weather outside is gorgeous. And the pool at the apartment opens up this week. I'm excited. Hope the weather cooperates!",3
"@mention It stays over a 100 degrees throughout the summer doesn't it? That's too hot for me. HaHaHa",1
"lots of sunshine and bike riding = sleepyhead  {link}",3
"So much for TV weather dudes! Caught in the rain riding today. {link}/ Oh well. I needed a shower anyway.",1
"#Sunshine+#workout this morning=#Happiness!",3
"05/23/2011 14:32  13 MPH at 249 DEG TEMP=63 F Safe Flying, Rich Parry  {link}",2
"If the weather cooperates, it will be a nice weekend for the Live Green Festival in downtown Salt Lake City #SLC #UT {link}",2
"It's mother fucking hot out",1
"@mention Nice! Looks like gorgeous weather. Damn I miss the golf course days lol",3
"RT @mention: Tha weather is so nice right now! NICEEEE #fabvoice",3
"@mention  Oh schaweet:)  do you still live in Holland?  if so, the weather is AMAZING here now.  :P",3
"Headed outside for fun and a picnic with the kids- can't wait to see what the rest of the day will bring! Yay for sunshine!!",3
"#WEATHER:  5:53 am : 53.0F. Feels F. 29.87% Humidity. 0.0MPH North Wind.",2
"Its so freakin hott down here in georgia, im finna freakin melt!! Its 101 degrees ugh!!!",1
"It's so fucking hot outside that I thought I was in Haiti for a minute.",1
"Its lovely and warm outside until the wind blows",3
"#snow at my house. I love winter",3
"awesome :( its 11:30 and already 86 degrees and climbing. i hate TX",1
"14:26-Sky:  partly cloudy|Vis: 10mi -Temp: 76.1F-Hum: 67.0 %-Pres: 29.57""-24Hr Rain: 0.37""-Winds: N 2.0 MPH-Windchill: 78.8F #cltwx",2
"RT @mention: The weather is beyond beautiful ! :)",3
"So, now I hear that #Thor is good movie... maybe I go since the weather here still stinks! Is May, where is the sun!?!?",1
"Enjoying this rainy Sunday in Philly - Getting caught up on marketing client projects :)",3
"@mention just windy and dark now. no rain yet",2
"It's hot enough to go swimming and I want to, but yet it hasn't been warm enough for the water to not be freezing. :(",1
"Whoaaaaa it's cold outside.",1
"@mention I disagree. I think its the best weather day of 2011.",3
"Thursday morning weather forecast {link}",2
"Severe Thunderstorm Warning for Greer and Harmon County in OK until 2:00pm CDT. #okwx",2
"RT @mention: Steady rain and flooded streets, including street closures, are capping #Denver's day of stormy weather.",2
"Ugh...50 degrees and raining. Heading to the boos to snuggle under him like a newborn baby",1
"If you want rain & cooler weather you'll have to wait until next Thursday.  A front & Pacific storm bust us out of this Summer-like pattern.",2
"I love thunderstorms!",3
"@mention @mention actually it wasn't too bad. Driver said we had the best weather of the day",3
"Yesss! A thunder storm night! :)",3
"Decided to go in thong sandals today and realized its not that great of a decision. Ankles are getting hives from the cool temp.",1
"Ok, I am ready to admit that maybe it wasn't the best idea to have not ran the a/c in the house today. It 86 degrees in here!",1
"Mostly Clear skies overnight, lows near 73.  Sunshine and clouds, highs near 90.  10% rain chance.",2
"Bad weather + being late = annoying bitch.",1
"Thunder storm in carlisle. Maybe taking the bike to work not such a good idea afterall. *grim up north*.",1
"#LakeoftheOzarks Fair and 63 F at Kaiser Memorial Automatic Weather Observing, MO  {link}",2
"Finally! A nice, sunny day!",3
"Forecast for Today:  							 								Mostly cloudy. Showers and thunderstorms likely...mainly this morning. ... {link} #wv",2
"#WEATHER:  2:53 pm : 74.0F. Feels F. 29.93% Humidity. 15.0MPH Northwest Wind.",2
"#WEATHER: 10:52 am : 71.0F. Feels F. 29.92% Humidity. 3.5MPH Southwest Wind.",2
"#WEATHER:  4:52 pm : 66.0F. Feels F. 29.86% Humidity. 4.6MPH West Wind.",2
"RT @mention RT @mention: RT @mention: Totally in love with the weather today :)",3
"@mention it's completely different than Florida! It's got mountains and the weather is so pretty...",3
"Waiting out possible tornado weather in Wichita",2
"@mention Yay!  It's finally springlike in Seattle.  we're getting above 60 degrees for the 4th time this year, whoohoo.",3
"the snow isnt helping the work situation today #tryingtoopennextweek",1
"We are finally enjoying some sunshine and warm temperatures here in Moscow! Your AJ team wishes you a sunny, fun and safe weekend!",3
"#WEATHER:  10:53 pm: 80.0F. Feels F. 29.67% Humidity. 13.8MPH South Wind.",2
"Guess I can tweet at the light.... Hugh this weather :'(",1
"Tatum, NM @ 1:00 PM: Temp:77F(H 77/L 45), Hum:15&#x25;, DewPt:26F, Wind: W at 26 G 37.0 mph, Rain:0.00 In. #weather",2
"08:14:25 |Temp: 49.6 deg F. | Dew Point 47.9 | Rain today: 0.00 inches | Wind: 2.0 mph from the WSW, Gusting to 3.0 | Heat Index 49.6 |#GAWX",2
"About to cuss this man out thats cuttin the grass. It's to hot outside already. Take yo ass home and away from my window!!!!!!!!!!",1
"Such a pretty day! I took advantage of this sunshine and walked to Whole Foods and got stuff to make a steak salad for lunch. #getinmahbelly",3
"Let this busy, fun filled weekend begin. Are u out enjoying this beautiful weather?",3
"Hopefully this warm weather stays",3
"New event. Severe Thunderstorm Warning from 5/12/2011 6:06 PM to 6:45 PM CDT for Morgan County,... Read more at {link}",2
"beautiful weather in @mention. just got back from a great lunch on the patio at @mention in the @mention.",3
"@mention miami lucky i was dream to go over there...milwaukee is ok but the weather suck tho lol",1
"Memphis Weather Is Gay.",1
"Gonna be hot & muggy this weekend. Hope y'all be careful out there! :)",2
"Nice sunny day! No more rain",3
"Q: how are you this fine sunny dayA: I am fantastic on this fine, sunny day. I...: {link}",3
"#WEATHER:  5:06 pm : 80.8F. Feels F. % Humidity. 2.2MPH South Wind.",2
"Hello #SLC. It is WAY too late for snow. Please stop it!",1
"More thunda! Stupid rainy #Pittsburgh.",1
"Church and CRYC canceled 2nite due to weather concerns.  Stay safe and pray.",2
"listening to 40s on Pandora while writing this paper. but the weather, being all gross and stuff, is making me wish it was next christmas!!",1
"I love winter weather!",3
"Completely looking forward to a high of 72 degrees in the Berkshires today.  Yeay!",3
"Just checked the weather forecast going to be crappy until wed.  bummer.",1
"This weather .. Is simply perfect :)",3
"SEVERE THUNDERSTORM WATCH FOR NE KS OK. Micheal.",2
"#WEATHER:  11:18 am: 80.4F. Feels F. % Humidity. 11.4MPH Northeast Wind.",2
"Severe Thunderstorm Warning until 06:15 PM CDT issued for Lincoln & Russell Counties with 60mph gusts & 1.75"" hail possible",2
"OMG #WeatherForecast for tomm 80 degrees & Sunny &lt;=== #NeedThat #Philly #iMustSeeItToBelieveIt yo",3
"hot...and I don't mean me. it's so humid outside. yuck.",1
"@mention it's this crappy weather and my ear has been fudged up since April",1
"Hates Arkansas weather #LikeForrealThough",1
"Hot out",2
"Early day cause of the weather.. I wish it was sunny and 80 so I could make the $",1
"**FRED ALERT** Severe Thunderstorm Watch issued May 18 at 11:53AM CDT expiring May 18 at 8:00PM CDT by NWS Storm... {link}",2
"& the lady with the shorts should enjoy the day. She's dressed perfectly for the weather. FINALLY",3
"Finally this Weekend Weather is goin to be Nice! :)",3
"Emergency Officials Monitoring Flood Risk: Officials worry melting snow from Wyoming may lead to massive floodin... {link}",2
"I hate Pittsburgh weather.",1
"@mention A line of #thunderstorms should reach St. Joe / Benton Harbor by 8am #Michigan {link}",2
"#WEATHER:  11:53 pm: 69.0F. Feels F. 29.99% Humidity. 0.0MPH North Wind.",2
"Why in the hell did the Sox/Rangers resume? The city had awful weather and that game is important? Dumb. Prayers 4 OK, TEX.",1
"This weather is killing me! Pick one and stick with it ok!",1
"Weather looking good for MTB Skills clinic tomorrow. And my new profile is finally on the site too, thanks Gabby {link}",3
"#WEATHER:  11:51 am: 67.0F. Feels F. 30.00% Humidity. 5.8MPH Variable Wind.",2
"NBC10 EarthWatch Now: 63 AM: Fog/ Mist PM: Mostly cloudy, Showers High: 75 Tue: Rainy, 64",2
",;*""*;,;*""*;, *;,          ,;*     ""*;,;*""             HaPpY    RiM JiM To my all friends. Enjoy the nice weather.",3
"Now that the rain has gone through, it has cooled Nashville off for very nice Patio weather.",3
"#WEATHER:  3:55 pm : 79.0F. Feels F. 30.05% Humidity. 8.1MPH South Wind.",2
"Oh look, whaddya know. #rain. GO AWAYYYYYY RAIN! No one likes you.",1
"I can't keep up with new England weather changing every 5 minutes sheesh",1
"Insanely bad weather...same system @mention had earlier? Dear Purdue, don't send storms. I'll be with y'all in WL soon. then we share.",1
"Love this weather! Moving my little office to the patio.",3
"it's hot n i dont wanna go out... it's gunna be black ppl everywhere... i just cant take dat!",1
"@mention arizona?! that sounds nice... no humidity there...",3
"not likin the weather to much.",1
"Its a banging ass sunny day outside & im in studying for this Last Final at 5:30pm.....#ThisSomeBullshit",3
"#WEATHER: 7:53 pm C: 70.0F. Feels F. 30.17% Humidity. 16.1MPH South Wind.",2
"Whoa, what month is it again? February? I think NOT! Where is the sun and the warm weather!!",1
"@mention how are you? Its actually sunny in Wisconsin today :-)",3
"Laying out..love this weather...#getmytanon",3
"@mention And over this chilly weather! Bring on summer.",1
"Weather Channel broadcasting live tornado from KFRO live feed.",2
"RT @mention: Tornado watch out for Benton, Stearns, Todd, Morrison & Sherburne counties. A watch means severe weather could develop. htt ...",2
"I woke to the sound of the hoarse barking of my neighbour's dog, who is afraid of thunder.  Storm's overhead.",2
"Omg a thunder storm in my town is coming good cuz in Texas where I live it's dry:L @mention  what's up dude?!:) how's it going?",3
"@mention-Awesome I guess,lol! Can I ask what it is? You still in Alberta for it? How`s your weather,it`s beautiful here today!",3
"#WEATHER:  4:53 pm : 88.0F. Feels F. 29.86% Humidity. 13.8MPH North Wind.",2
"This screwy weather makes the MS really really act up.....",1
"Ah lovin this weather",3
"Coffee, bagel, great bk...all savored in the breeze-cooled warmth of a sunny hi-desert morn: Super way to launch a day!  {link}",3
"scienceRT @mention: The weather forecast calls for drizzly sun.",2
"Im happy the sunshine is still gracing us with its presence",3
"WOW - it's a little windy outside!",2
"@mention got caught by the rain grrrr.  Bring back Chris Lowrie's weather tweets please, lol",1
"The weather is perfect right now. #summanightsyo",3
"#WEATHER:  6:50 am : 68.0F. Feels F. 29.84% Humidity. 5.8MPH East Wind.",2
"Dear Weather,  in the words of Cee Lo Green - F You.  Regards Alex",1
"STORM REPORT: 9 Nw Mexico [Audrain Co, MO] reports TSTM WND DMG  at 06:40 PM CDT - barn blown over onto hwy e near the intersection of hwy t",2
"Where is the nice weather?",1
"It makes me happy when it becomes summer dress weather.",3
"84.7F (Feels: 92.5F) - Humidity: 71% - Wind: 10.7mph S - Gust: 10.7mph - Pressure: 1011.9mb (+0.3)  #weather {link}",2
"Patio weather! Catch me somewhere with a brew in my hand.",3
"It went from Alaska weather to Arizona weather in seconds here! WTF",1
"Brr it's cold today. MI weather sux.",1
"The risk of storm surges for coastal properties {link} via @mention",2
"Another grand Ol' windy day!! Bummer :-(",1
"solid semester. time to resume raging, only replacing school work with warehouse work and garbage weather with gorgeous weather. #SummerSkin",3
"RT @mention: I hate drastic weather changes!!!!",1
"Hawaii trip booked YEA SUNSHINE and nothing but beaches and getting spoiled #FML",3
"Hot ass day outside",1
"This weather= sleep",2
"#WEATHER:  12:52 pm: 48.0F. Feels 43F. 30.09% Humidity. 11.5MPH North Wind.",2
"Love this weather it's just makes me wanna go home and snuggle under my blankets and sleep!!!",3
"@mention great ball park. Thoroughly impressed. Couldn't have begged for better weather either. Worth a trip for baseball fans I think",3
"Stormy Weather {link}",2
"Leaving the gym...was considering going to check out the softball game but it's hot than a bia out here!",1
"The humidity is so ridiculous. YUK",1
"I want the cold weather back!!! *whines*",1
"sunshine makes everything better. although long, this day has been fantastic, and it's b/c of the sun.",3
"Ugh i hate this weather.... :\",1
"136th straight rainy day in the #Burgh .. looks like no bike or garden planting today",1
"#WEATHER:  4:53 pm : 53.0F. Feels 49F. 29.91% Humidity. 13.8MPH South Wind.",2
"It's too gray and it's too chilly.  But better days are not far off.",1
"@mention why would miler leave 80 degrees everyday for UM? He always talked about the great weather in AZ, he'd b a fool to leave",3
"grateful for this beautiful weather!",3
"@mention not here NOT HERE!!!!!!!!!!!! it's windy and rainy and cloudy.",1
"#WEATHER: 1:51 pm E: 67.0F. Feels F. 29.95% Humidity. 5.8MPH Variable Wind.",2
"Was trapped at norcom with this bad weather. Damn",1
"Current Philadelphia, MS 39350 Weather Forecast - {link}",2
"The weather is so nice mmmmmmmm #warm",3
"Its raining. Why can't it be sunny so I don't have to wear tights!",1
"Snow, we need to talk. GO AWAY!",1
"Fresh on gulfcoastrising.com: AccuWeather.com - Weather News | Mississippi River Flooding &lt;b&gt;...&lt;/b&gt; {link}",2
"at least the weather is consistent now",3
"Tatum, NM @ 11:00 AM: Temp:64F(H 64/L 47), Hum:33&#x25;, DewPt:35F, Wind: NNE at 19 G 31.0 mph, Rain:0.00 In. #weather",2
"#WEATHER: 12:52 am : 71.0F. Feels F. 29.72% Humidity. 17.3MPH South Wind.",2
"RT: @mention Feel sorry for the cats a d dogs that are outside pets cause it's hot af out here&lt;&lt;&lt;&lt;&lt;&lt;&lt; LMAO oh no sandi!",1
"Today was 101 degrees.",2
"| Thunderstorms are the best free car washes.",3
"Love this weather &lt;3",3
"RT @mention: Like where are the pools in Colorado its 83 degrees!! -- really ?!",1
"It is extremely windy today at the Traditions Club. Monberg makes par on #14. She is -1. Mansson also pars 14. She is E.",2
"Severe Weather and Tornadoes appearing more likely here in the Southern Plains over the next several days!!... {link}",2
"..73 degrees in #Detroit today hells yeah!!!! !!",3
":/ RT @mention: Storm Prediction Center just said Long Track Tornadoes are possible near Memphis over the next couple of hours.",2
"Great day in the gym! Getting lean and mean, now only if this weather would turn so I can get back outside!",1
"#ncwx Conditions for Raleigh, NC at 1:50 pm EDT: Current Conditions: Cloudy, 78 FForecast: Fri - Isolated Thunderstorms. High: 77 Low...",2
"Damn its cold out. Arent we in May? #onlyinboston smfh",1
"Imma be mad as hell if these clothes aint dry hell its cold out here",1
"@mention Good point but I don't envy you through this stretch of weather. Good luck!",1
"Promises her next move will be to warmer climates... this Midwest weather is taking a toll on me! #seriouslysad #countdownbegins",1
"i think ima get sick ahhh im trying to walk as fast as i cani need to go to the restroom! :( poor me  fuck this weather",1
"Quick preview of tonights session with incredible people, incredible weather and SUN, green grass, things are... {link}",3
"Thursday Night's Storm Team 3 Forecast:  We dropped to a record low this morning, but this isn't preventing a big... {link}",2
"RIGHT!!! RT @mention: Now this is the type of weather I efs with! :) #FYRE",3
"Well, it's after 7, and with a few thunderstorms on the way, things should be charged. Let's lock and load!",2
"Peets black iced tea and apricot scone is the only thing to start my day off well knowing I have to miss this beautiful weather all day. :-(",3
"It's freezing out here WTF it's May not March I am going to freeze my nips off! Shiiiit.LMAO",1
"RT @mention: TORNADO WARNING west central MO NEAR GLADSTONE...AND MOVING NORTH AT 35 MPH. {link} #weather #news #wx  ...",2
"Just saw the weather for Portugal, 80 and sunny! So glad it will be warm, or did I just jinx myself #knockonwood",3
"I don't know why I look at the weather forecast anymore. 60s and rain again tomorrow.",1
"Apparently the weather's not going to be too bad on Saturday :)",3
"Does anyone know when the next storm is supposed to be rolling in?",2
"Tree Pollens Ratchet Up Allergy Season: The sudden warm temperatures are drawing people outside after the long, ... {link}",2
"Map of areas being watched for Thunder Storms this Afternoon. Some Storms may be Severe. {link}",2
"#United States #Wisconsin #Wisconsin Dells #Y-O RanchSevere Thunderstorm Warning - WALA-TV FOX10",2
"@mention and a hail storm? Lmao they don't last no more then 5 mins smh",2
"#rain when the fuck did i move to Seattle?",1
"M0ZIF QTH Weather 12:00 18.8&#xB0;C 62 pct 3.8 mph E {link}",2
"What dismal weather..",1
"I have been waiting for a good day. Finally it was warm and dry enough for her to explore outside. {link}",3
"Even the skyscrapers seem happy to see some sunshine",3
"Is it 5 pm yet? Some of us @mention'rs are eagerly awaiting a walk on the #Stowe Rec Path! Blue skies & 67 degrees = perfect wlking weather!",3
"I feel like im in san clemente california! Its sooooo sunny!",3
"Jefferson County: Special Weather Statement issued May 08 at 5:37AM EDT expiring May 08 at 7:30AM EDT by... {link} #cjalert",2
"Current Wx in St. Mary's County: Time: 12:30 PM. Temp: 65*F. Feels Like: 65*F. Cond: Partly Cloudy. Hum: 54%. Winds: NW at 4 MPH.",2
"This weather needs to stop so I can go shopping already. Damn.",1
"Severe Thunderstorm Warning until 04:45 PM Sunday issued for Meigs, Rhea & Roane Counties.",2
"RT @mention: National Weather Service has not found signs to indicate a tornado touched down Monday in Cuy. Co.: {link}",2
"Beach weather :)",3
"Current weather at 04:00 ,63.1 deg, 94 pct 4.0 mph, from the SE",2
"#WEATHER:  4:53 pm : 53.0F. Feels 47F. 30.01% Humidity. 26.5MPH Southeast Wind.",2
"#WEATHER:  1:53 am : 54.0F. Feels F. 29.90% Humidity. 0.0MPH North Wind.",2
"@mention OR WEATHER IS BEAUTIFUL TODAY",3
"Severe Thunderstorm Warning for Christian, Logan, Menard and Sangamon County in IL until 6:00pm CDT. #ilwx",2
"@mention Ran a little over 6 today. Was sunny and about 60 degrees.  Perfect day for a run. Happy Mother's Day!",3
"@mention it's sunny in western pa that's got to be reason enough to smile :)",3
"Current weather at 4:00 ,72.1 deg, 38 pct 8.0 mph, from the ESE",2
